data_inversa;dia_semana;br;km;causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;mortos;ilesos;feridos
2007-07-10;Domingo;174;7.0;Defeito mecânico em veículo;Saída de Pista;pleno dia;sol;0;1;0
2007-10-14;Domingo;174;11.0;Outras;Colisão traseira;pleno dia;ceu claro;0;3;0
2007-10-14;Domingo;174;10.0;Outras;Atropelamento de pessoa;pleno dia;ceu claro;0;1;1
2007-10-15;Segunda;174;1.0;Outras;Saída de Pista;pleno dia;ceu claro;0;0;5
2007-10-24;Quarta;174;48.1;Outras;Saída de Pista;pleno dia;ceu claro;0;3;0
2007-04-11;Domingo;174;23.0;Outras;Saída de Pista;pleno dia;sol;0;4;1
2007-04-11;Domingo;174;11.0;Velocidade incompatível;Capotamento;pleno dia;ceu claro;0;2;1
2007-05-10;Sexta;174;74.0;Falta de atenção;Colisão traseira;plena noite;ceu claro;0;2;2
2007-10-11;Sábado;174;30.0;Dormindo;Saída de Pista;plena noite;ceu claro;0;0;1
2007-11-11;Domingo;174;44.3;Dormindo;Capotamento;pleno dia;ceu claro;0;0;1
2007-11-14;Quarta;174;73.0;Falta de atenção;Colisão lateral;plena noite;ceu claro;0;0;3
2007-11-19;Segunda;174;65.0;Dormindo;Colisão com objeto fixo;anoitecer;nublado;0;1;2
2007-11-19;Segunda;319;0.4;Falta de atenção;Colisão com objeto fixo;anoitecer;ceu claro;0;1;0
2007-11-21;Quarta;174;57.8;Animais na Pista;Saída de Pista;plena noite;ceu claro;0;0;2
2007-11-22;Quinta;174;12.9;Velocidade incompatível;Colisão frontal;pleno dia;nublado;1;0;2
2007-11-26;Segunda;174;85.0;Falta de atenção;Saída de Pista;amanhecer;ceu claro;0;0;1
2007-10-14;Domingo;174;11.0;Não guardar distância de segurança;Colisão traseira;pleno dia;ceu claro;0;3;0
2007-07-12;Sexta;174;70.0;Dormindo;Saída de Pista;plena noite;nublado;0;1;0
2007-09-12;Domingo;174;33.9;Outras;Colisão traseira;anoitecer;chuva;0;7;1
2007-12-13;Quinta;174;3.4;Falta de atenção;Colisão traseira;pleno dia;chuva;0;2;2
2007-12-15;Sábado;174;62.4;Defeito mecânico em veículo;Colisão lateral;pleno dia;ceu claro;0;2;4
2007-12-19;Quarta;174;10.6;Outras;Colisão traseira;pleno dia;ceu claro;0;4;0
2007-12-20;Quinta;174;6.3;Ultrapassagem indevida;Colisão traseira;pleno dia;sol;0;0;3
2007-12-23;Domingo;174;3.5;Animais na Pista;Saída de Pista;pleno dia;ceu claro;0;1;0
2007-12-22;Sábado;174;7.7;Defeito na via;Saída de Pista;plena noite;nublado;0;1;0
2007-12-25;Terça;174;76.2;Dormindo;Saída de Pista;pleno dia;ceu claro;0;6;0
2007-12-21;Sexta;319;0.6;Ingestão de álcool;Colisão frontal;plena noite;ceu claro;0;1;1
2007-12-29;Sábado;174;8.0;Falta de atenção;Colisão lateral;plena noite;chuva;0;4;0
2007-12-31;Segunda;174;57.0;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;4;2
2007-02-04;Segunda;174;41.0;Ingestão de álcool;Saída de Pista;pleno dia;ceu claro;0;0;1
2007-04-28;Sábado;174;35.2;Outras;Saída de Pista;plena noite;ceu claro;1;0;2
2008-05-01;Sábado;174;50.0;Outras;Saída de Pista;pleno dia;chuva;0;1;0
2008-11-01;Sexta;174;28.0;Outras;Saída de Pista;pleno dia;nublado;0;2;0
2008-01-18;Sexta;174;61.0;Falta de atenção;Saída de Pista;pleno dia;chuva;0;1;1
2008-01-20;Domingo;174;30.0;Outras;Atropelamento de pessoa;plena noite;ceu claro;0;1;1
2008-01-24;Quinta;174;78.0;Velocidade incompatível;Colisão traseira;pleno dia;ceu claro;0;3;0
2008-01-25;Sexta;174;30.8;Defeito mecânico em veículo;Saída de Pista;pleno dia;chuva;0;1;0
2008-01-25;Sexta;174;87.0;Outras;Saída de Pista;pleno dia;nublado;0;1;0
2008-01-23;Quarta;174;25.0;Falta de atenção;Saída de Pista;pleno dia;ceu claro;0;0;5
2008-01-26;Sábado;174;4.6;Não guardar distância de segurança;Colisão traseira;plena noite;chuva;0;1;1
2008-01-29;Terça;174;18.8;Falta de atenção;Colisão traseira;pleno dia;sol;0;3;1
2008-01-30;Quarta;174;51.0;Defeito na via;Saída de Pista;pleno dia;ceu claro;0;0;2
2008-02-02;Sábado;174;103.0;Outras;Colisão Transversal;pleno dia;ceu claro;0;2;3
2008-04-02;Segunda;174;53.9;Outras;Saída de Pista;pleno dia;chuva;0;0;2
2008-03-02;Domingo;174;3.3;Não guardar distância de segurança;Colisão traseira;anoitecer;chuva;0;2;0
2008-08-02;Sexta;174;4.2;Falta de atenção;Colisão traseira;pleno dia;chuva;0;4;0
2008-02-17;Domingo;174;52.6;Outras;Colisão traseira;pleno dia;ceu claro;0;7;0
2008-02-19;Terça;174;29.5;Outras;Saída de Pista;pleno dia;chuva;0;0;2
2008-02-17;Domingo;174;2.4;Não guardar distância de segurança;Colisão lateral;pleno dia;chuva;0;2;3
2008-02-16;Sábado;174;76.0;Animais na Pista;Atropelamento de animal;pleno dia;ceu claro;0;0;2
2008-02-25;Segunda;174;7.7;Outras;Colisão frontal;plena noite;ceu claro;1;1;1
2008-02-03;Domingo;174;55.4;Outras;Capotamento;pleno dia;ceu claro;0;2;0
2008-02-03;Domingo;174;51.0;Outras;Saída de Pista;pleno dia;ceu claro;0;2;0
2008-02-29;Sexta;174;49.0;Defeito na via;Colisão com objeto fixo;plena noite;nublado;0;3;0
2008-02-29;Sexta;174;49.0;Defeito na via;Colisão com objeto fixo;plena noite;nublado;0;1;0
2008-04-03;Terça;174;26.9;Ingestão de álcool;Tombamento;plena noite;ceu claro;0;0;1
2008-06-03;Quinta;174;28.4;Velocidade incompatível;Colisão com objeto fixo;pleno dia;chuva;0;2;0
2008-08-03;Sábado;174;29.0;Falta de atenção;Capotamento;pleno dia;chuva;0;3;0
2008-08-03;Sábado;174;55.4;Defeito na via;Capotamento;pleno dia;nublado;0;1;1
2008-09-03;Domingo;174;109.5;Velocidade incompatível;Saída de Pista;pleno dia;ceu claro;0;0;2
2008-03-21;Sexta;174;13.0;Outras;Colisão traseira;pleno dia;chuva;0;0;3
2008-03-21;Sexta;174;10.9;Velocidade incompatível;Saída de Pista;plena noite;chuva;0;1;2
2008-03-19;Quarta;174;22.0;Falta de atenção;Atropelamento de pessoa;plena noite;ignorado;0;0;1
2008-03-23;Domingo;174;36.0;Defeito na via;Saída de Pista;pleno dia;chuva;0;2;3
2008-03-30;Domingo;174;64.0;Falta de atenção;Tombamento;pleno dia;sol;0;0;4
2008-03-30;Domingo;174;30.0;Outras;Saída de Pista;pleno dia;chuva;0;0;1
2008-03-30;Domingo;174;25.8;Defeito mecânico em veículo;Saída de Pista;plena noite;chuva;0;0;4
2008-12-04;Sábado;174;66.0;Falta de atenção;Saída de Pista;pleno dia;chuva;0;1;0
2008-12-04;Sábado;174;71.5;Animais na Pista;Atropelamento de animal;plena noite;nevoeiro/neblina;0;3;0
2008-04-13;Domingo;174;43.0;Defeito na via;Colisão com objeto fixo;pleno dia;ceu claro;0;1;0
2008-04-13;Domingo;174;43.0;Defeito na via;Colisão com objeto fixo;anoitecer;ceu claro;0;1;0
2008-04-13;Domingo;174;43.0;Defeito na via;Colisão com objeto fixo;anoitecer;ceu claro;0;1;0
2008-04-13;Domingo;174;43.0;Defeito na via;Colisão com objeto fixo;anoitecer;ceu claro;0;1;0
2008-04-17;Quinta;174;22.6;Ultrapassagem indevida;Colisão lateral;pleno dia;ceu claro;0;2;0
