causa_acidente,data_inversa,mortos,ano
defeito mecânico em veículo,2009-10-17,0,2009
outras,2009-10-24,0,2009
outras,2009-10-24,0,2009
falta de atenção,2009-10-24,0,2009
falta de atenção,2009-10-25,0,2009
não guardar distância de segurança,2009-10-25,0,2009
outras,2009-10-30,0,2009
velocidade incompatível,2009-10-31,0,2009
defeito mecânico em veículo,2009-10-31,0,2009
defeito mecânico em veículo,2009-01-11,0,2009
outras,2009-01-11,0,2009
ingestão de álcool,2009-10-31,0,2009
não guardar distância de segurança,2009-02-11,0,2009
falta de atenção,2009-02-11,0,2009
falta de atenção,2009-11-14,0,2009
falta de atenção,2009-11-15,0,2009
ingestão de álcool,2009-11-14,0,2009
não guardar distância de segurança,2009-11-14,0,2009
falta de atenção,2009-01-12,0,2009
animais na pista,2009-03-12,0,2009
velocidade incompatível,2009-06-12,3,2009
falta de atenção,2009-07-12,0,2009
falta de atenção,2009-10-12,0,2009
defeito mecânico em veículo,2009-12-13,0,2009
dormindo,2009-12-15,0,2009
defeito mecânico em veículo,2009-12-15,0,2009
velocidade incompatível,2009-12-20,0,2009
falta de atenção,2009-12-29,0,2009
falta de atenção,2009-12-27,0,2009
ultrapassagem indevida,2009-02-11,0,2009
não guardar distância de segurança,2010-02-01,0,2010
falta de atenção,2010-02-01,0,2010
dormindo,2010-03-01,0,2010
falta de atenção,2010-06-01,0,2010
outras,2010-01-14,0,2010
falta de atenção,2010-01-16,0,2010
outras,2010-01-23,0,2010
falta de atenção,2010-01-25,0,2010
outras,2010-01-28,0,2010
falta de atenção,2010-01-31,0,2010
dormindo,2010-01-31,0,2010
ultrapassagem indevida,2010-12-02,0,2010
ultrapassagem indevida,2010-02-16,0,2010
outras,2010-02-13,0,2010
não guardar distância de segurança,2010-02-14,0,2010
dormindo,2010-02-16,0,2010
defeito mecânico em veículo,2010-02-20,0,2010
outras,2010-02-21,0,2010
falta de atenção,2010-02-15,0,2010
ultrapassagem indevida,2010-02-16,0,2010
velocidade incompatível,2010-02-22,0,2010
velocidade incompatível,2010-02-21,0,2010
dormindo,2010-06-03,0,2010
falta de atenção,2010-10-03,0,2010
falta de atenção,2010-03-22,0,2010
ultrapassagem indevida,2010-07-03,0,2010
velocidade incompatível,2010-03-26,0,2010
velocidade incompatível,2010-03-25,0,2010
outras,2010-03-31,0,2010
não guardar distância de segurança,2010-01-04,0,2010
outras,2010-07-03,0,2010
não guardar distância de segurança,2010-02-04,0,2010
outras,2010-03-19,0,2010
não guardar distância de segurança,2010-11-04,0,2010
falta de atenção,2010-04-25,1,2010
ingestão de álcool,2010-04-25,0,2010
não guardar distância de segurança,2010-04-26,0,2010
velocidade incompatível,2010-04-29,0,2010
falta de atenção,2010-04-18,0,2010
não guardar distância de segurança,2010-01-05,0,2010
outras,2010-04-05,0,2010
falta de atenção,2010-02-05,1,2010
ultrapassagem indevida,2010-04-27,0,2010
falta de atenção,2010-04-18,0,2010
não guardar distância de segurança,2010-09-05,0,2010
ingestão de álcool,2010-09-05,0,2010
falta de atenção,2010-08-05,0,2010
dormindo,2010-09-05,0,2010
falta de atenção,2010-05-15,0,2010
outras,2010-05-21,0,2010
dormindo,2010-05-21,0,2010
falta de atenção,2010-05-28,0,2010
falta de atenção,2010-05-29,0,2010
não guardar distância de segurança,2010-05-30,0,2010
ultrapassagem indevida,2010-05-29,0,2010
falta de atenção,2010-05-29,0,2010
outras,2010-05-30,0,2010
dormindo,2010-05-29,0,2010
não guardar distância de segurança,2010-05-30,0,2010
falta de atenção,2010-05-06,0,2010
falta de atenção,2010-05-30,0,2010
não guardar distância de segurança,2010-05-25,0,2010
outras,2010-06-19,0,2010
velocidade incompatível,2010-06-19,0,2010
velocidade incompatível,2010-06-25,0,2010
falta de atenção,2010-06-07,0,2010
falta de atenção,2010-03-06,0,2010
falta de atenção,2010-09-07,0,2010
ingestão de álcool,2010-04-07,0,2010
velocidade incompatível,2010-07-16,0,2010
falta de atenção,2010-07-16,0,2010
defeito mecânico em veículo,2010-07-19,0,2010
velocidade incompatível,2010-07-22,0,2010
outras,2010-07-23,0,2010
velocidade incompatível,2010-07-24,1,2010
outras,2010-07-23,0,2010
não guardar distância de segurança,2010-07-27,0,2010
outras,2010-07-25,1,2010
falta de atenção,2010-07-31,0,2010
outras,2010-01-08,0,2010
outras,2010-01-08,0,2010
não guardar distância de segurança,2010-01-08,0,2010
falta de atenção,2010-07-08,1,2010
ingestão de álcool,2010-07-08,0,2010
velocidade incompatível,2010-08-08,0,2010
falta de atenção,2010-10-08,0,2010
não guardar distância de segurança,2010-08-14,0,2010
outras,2010-07-23,0,2010
não guardar distância de segurança,2010-08-18,0,2010
ingestão de álcool,2010-08-15,0,2010
falta de atenção,2010-08-20,0,2010
defeito mecânico em veículo,2010-08-13,0,2010
defeito mecânico em veículo,2010-08-30,0,2010
velocidade incompatível,2010-08-14,0,2010
outras,2010-02-09,0,2010
defeito mecânico em veículo,2010-05-09,0,2010
ultrapassagem indevida,2010-04-09,0,2010
outras,2010-10-09,0,2010
falta de atenção,2010-12-09,0,2010
outras,2010-09-13,0,2010
dormindo,2010-09-14,0,2010
outras,2010-09-18,0,2010
defeito mecânico em veículo,2010-09-19,0,2010
dormindo,2010-09-18,0,2010
outras,2010-09-20,0,2010
outras,2010-09-18,0,2010
outras,2010-09-18,0,2010
velocidade incompatível,2010-09-21,0,2010
dormindo,2010-09-26,0,2010
defeito na via,2010-09-26,0,2010
falta de atenção,2010-01-10,0,2010
ingestão de álcool,2010-02-10,0,2010
falta de atenção,2010-02-10,0,2010
defeito na via,2010-04-10,0,2010
defeito na via,2010-04-10,0,2010
ingestão de álcool,2010-09-10,1,2010
falta de atenção,2010-10-10,0,2010
defeito mecânico em veículo,2010-10-10,0,2010
falta de atenção,2010-11-10,0,2010
desobediência à sinalização,2010-10-20,0,2010
defeito mecânico em veículo,2010-10-23,0,2010
outras,2010-10-20,0,2010
outras,2010-10-27,0,2010
outras,2010-10-23,0,2010
defeito mecânico em veículo,2010-10-21,0,2010
ingestão de álcool,2010-10-30,0,2010
falta de atenção,2010-10-30,0,2010
falta de atenção,2010-10-30,0,2010
falta de atenção,2010-02-11,0,2010
falta de atenção,2010-08-11,0,2010
dormindo,2010-08-11,0,2010
dormindo,2010-09-11,0,2010
falta de atenção,2010-10-11,0,2010
outras,2010-10-11,0,2010
outras,2010-11-11,0,2010
outras,2010-11-14,0,2010
falta de atenção,2010-11-15,0,2010
dormindo,2010-11-22,0,2010
outras,2010-11-23,0,2010
ingestão de álcool,2010-11-21,0,2010
falta de atenção,2010-11-26,0,2010
defeito na via,2010-11-24,0,2010
falta de atenção,2010-11-28,0,2010
ultrapassagem indevida,2010-11-28,0,2010
falta de atenção,2010-02-12,0,2010
defeito na via,2010-04-10,0,2010
velocidade incompatível,2010-07-12,2,2010
velocidade incompatível,2010-08-12,0,2010
falta de atenção,2010-12-13,0,2010
falta de atenção,2010-12-13,0,2010
outras,2010-12-13,0,2010
dormindo,2010-12-15,0,2010
outras,2010-12-18,0,2010
desobediência à sinalização,2010-12-19,0,2010
defeito mecânico em veículo,2010-12-21,0,2010
velocidade incompatível,2010-12-23,0,2010
defeito mecânico em veículo,2010-12-23,0,2010
velocidade incompatível,2010-12-23,0,2010
dormindo,2010-12-26,0,2010
ingestão de álcool,2010-12-31,0,2010
velocidade incompatível,2010-12-28,0,2010
ingestão de álcool,2010-10-24,0,2010
falta de atenção,2011-10-29,0,2011
ultrapassagem indevida,2011-10-29,0,2011
velocidade incompatível,2011-01-11,0,2011
outras,2011-02-11,0,2011
outras,2011-03-11,0,2011
falta de atenção,2011-04-11,0,2011
falta de atenção,2011-05-11,0,2011
não guardar distância de segurança,2011-11-20,0,2011
falta de atenção,2011-11-26,0,2011
outras,2011-11-28,0,2011
não guardar distância de segurança,2011-02-12,0,2011
falta de atenção,2011-02-12,0,2011
outras,2011-11-12,1,2011
falta de atenção,2011-12-15,0,2011
não guardar distância de segurança,2011-12-16,0,2011
falta de atenção,2011-12-21,0,2011
falta de atenção,2011-12-25,0,2011
ultrapassagem indevida,2011-12-19,0,2011
outras,2011-01-01,0,2011
falta de atenção,2011-02-01,0,2011
não guardar distância de segurança,2011-02-01,0,2011
outras,2011-05-01,0,2011
defeito mecânico em veículo,2011-07-01,0,2011
outras,2011-05-01,0,2011
velocidade incompatível,2011-09-01,0,2011
dormindo,2011-09-01,0,2011
dormindo,2011-08-01,0,2011
velocidade incompatível,2011-01-15,0,2011
falta de atenção,2011-12-01,0,2011
não guardar distância de segurança,2011-01-28,0,2011
falta de atenção,2011-01-29,0,2011
ultrapassagem indevida,2011-01-29,0,2011
velocidade incompatível,2011-01-30,0,2011
ultrapassagem indevida,2011-01-23,1,2011
não guardar distância de segurança,2011-04-02,0,2011
defeito mecânico em veículo,2011-05-02,0,2011
falta de atenção,2011-05-02,0,2011
falta de atenção,2011-08-02,0,2011
velocidade incompatível,2011-05-02,0,2011
defeito mecânico em veículo,2011-02-15,0,2011
velocidade incompatível,2011-08-02,0,2011
falta de atenção,2011-02-17,0,2011
outras,2011-02-18,0,2011
falta de atenção,2011-02-26,0,2011
defeito na via,2011-03-03,0,2011
ultrapassagem indevida,2011-03-03,0,2011
ingestão de álcool,2011-02-28,0,2011
defeito mecânico em veículo,2011-05-03,0,2011
velocidade incompatível,2011-11-03,0,2011
falta de atenção,2011-03-16,0,2011
outras,2011-03-18,0,2011
velocidade incompatível,2011-03-25,1,2011
falta de atenção,2011-03-26,0,2011
falta de atenção,2011-03-27,0,2011
defeito mecânico em veículo,2011-03-26,0,2011
não guardar distância de segurança,2011-03-04,0,2011
defeito mecânico em veículo,2011-03-04,0,2011
falta de atenção,2011-09-04,0,2011
outras,2011-12-04,0,2011
desobediência à sinalização,2011-08-04,0,2011
defeito na via,2011-05-02,0,2011
velocidade incompatível,2011-04-23,0,2011
velocidade incompatível,2011-04-18,0,2011
ultrapassagem indevida,2011-04-22,0,2011
falta de atenção,2011-04-29,0,2011
velocidade incompatível,2011-01-05,0,2011
outras,2011-04-30,0,2011
falta de atenção,2011-06-05,0,2011
falta de atenção,2011-09-05,0,2011
dormindo,2011-12-05,0,2011
ingestão de álcool,2011-05-14,0,2011
ingestão de álcool,2011-05-21,0,2011
falta de atenção,2011-05-27,0,2011
ingestão de álcool,2011-05-28,0,2011
não guardar distância de segurança,2011-05-29,0,2011
outras,2011-05-28,0,2011
dormindo,2011-05-29,0,2011
outras,2011-04-06,0,2011
ingestão de álcool,2011-05-06,0,2011
ingestão de álcool,2011-05-29,0,2011
falta de atenção,2011-06-06,0,2011
velocidade incompatível,2011-08-06,0,2011
falta de atenção,2011-08-06,0,2011
animais na pista,2011-11-06,0,2011
falta de atenção,2011-10-06,0,2011
defeito mecânico em veículo,2011-06-14,0,2011
outras,2011-05-20,0,2011
falta de atenção,2011-06-19,0,2011
velocidade incompatível,2011-06-19,0,2011
defeito mecânico em veículo,2011-06-21,0,2011
defeito mecânico em veículo,2011-06-19,0,2011
falta de atenção,2011-06-21,0,2011
falta de atenção,2011-06-22,0,2011
velocidade incompatível,2011-06-23,0,2011
outras,2011-06-22,0,2011
não guardar distância de segurança,2011-06-24,0,2011
outras,2011-06-25,0,2011
não guardar distância de segurança,2011-06-26,0,2011
velocidade incompatível,2011-06-27,0,2011
falta de atenção,2011-01-07,0,2011
outras,2011-01-07,0,2011
velocidade incompatível,2011-02-07,0,2011
velocidade incompatível,2011-07-07,0,2011
velocidade incompatível,2011-07-07,0,2011
outras,2011-06-17,0,2011
velocidade incompatível,2011-12-07,0,2011
desobediência à sinalização,2011-07-13,0,2011
falta de atenção,2011-07-13,1,2011
outras,2011-07-17,0,2011
falta de atenção,2011-07-17,0,2011
outras,2011-07-18,0,2011
não guardar distância de segurança,2011-07-22,0,2011
não guardar distância de segurança,2011-07-25,0,2011
falta de atenção,2011-07-25,0,2011
falta de atenção,2011-07-31,0,2011
outras,2011-07-31,0,2011
ultrapassagem indevida,2011-07-31,1,2011
não guardar distância de segurança,2011-07-08,0,2011
velocidade incompatível,2011-09-08,0,2011
dormindo,2011-10-08,0,2011
ingestão de álcool,2011-07-08,1,2011
falta de atenção,2011-07-08,0,2011
ingestão de álcool,2011-08-13,0,2011
não guardar distância de segurança,2011-08-14,0,2011
falta de atenção,2011-08-14,0,2011
outras,2011-08-15,1,2011
não guardar distância de segurança,2011-08-14,0,2011
outras,2011-12-08,0,2011
ingestão de álcool,2011-08-21,1,2011
falta de atenção,2011-08-21,0,2011
outras,2011-08-24,0,2011
outras,2011-08-31,0,2011
falta de atenção,2011-02-09,1,2011
falta de atenção,2011-08-31,2,2011
outras,2011-04-09,0,2011
não guardar distância de segurança,2011-05-09,0,2011
desobediência à sinalização,2011-07-09,0,2011
não guardar distância de segurança,2011-07-09,0,2011
não guardar distância de segurança,2011-05-09,0,2011
não guardar distância de segurança,2011-05-09,0,2011
falta de atenção,2011-06-09,0,2011
não guardar distância de segurança,2011-07-09,0,2011
não guardar distância de segurança,2011-07-09,0,2011
defeito mecânico em veículo,2011-10-09,0,2011
outras,2011-09-14,0,2011
desobediência à sinalização,2011-07-09,0,2011
falta de atenção,2011-09-13,0,2011
velocidade incompatível,2011-09-18,0,2011
velocidade incompatível,2011-09-18,0,2011
falta de atenção,2011-09-18,0,2011
falta de atenção,2011-08-21,0,2011
dormindo,2011-09-23,0,2011
falta de atenção,2011-09-24,0,2011
ingestão de álcool,2011-09-24,0,2011
defeito mecânico em veículo,2011-09-24,0,2011
ingestão de álcool,2011-09-25,0,2011
velocidade incompatível,2011-01-10,0,2011
falta de atenção,2011-02-10,0,2011
